regulator,TF_id,gene_name,gene_id,effect,evidence,source
H-NS,b1237,gspE,b3326,-,1,RegulonDB_TF
H-NS,b1237,gspD,b3325,-,1,RegulonDB_TF
H-NS,b1237,gspC,b3324,-,1,RegulonDB_TF
H-NS,b1237,gspB,b3322,-,1,RegulonDB_TF
H-NS,b1237,gspA,b3323,-,1,RegulonDB_TF
H-NS,b1237,gspM,b3334,-,1,RegulonDB_TF
H-NS,b1237,yjjQ,b4365,-,1,RegulonDB_TF
H-NS,b1237,mdtF,b3514,-,1,RegulonDB_TF
H-NS,b1237,mdtJ,b1600,-,1,RegulonDB_TF
H-NS,b1237,yhiM,b3491,-,1,RegulonDB_TF
H-NS,b1237,yhiD,b3508,-,1,RegulonDB_TF
H-NS,b1237,yfaE,b2236,-,1,RegulonDB_TF
H-NS,b1237,ydeP,b1501,-,1,RegulonDB_TF
H-NS,b1237,ydeO,b1499,-,1,RegulonDB_TF
H-NS,b1237,yciG,b1259,-,1,RegulonDB_TF
H-NS,b1237,yciF,b1258,-,1,RegulonDB_TF
H-NS,b1237,yciE,b1257,-,1,RegulonDB_TF
H-NS,b1237,stpA,b2669,-,1,RegulonDB_TF
H-NS,b1237,ssrS,b2911,-,1,RegulonDB_TF
H-NS,b1237,slp,b3506,-,1,RegulonDB_TF
H-NS,b1237,rrsB,b3968,-,1,RegulonDB_TF
H-NS,b1237,mdtI,b1599,-,1,RegulonDB_TF
H-NS,b1237,rrlB,b3970,-,1,RegulonDB_TF
H-NS,b1237,rcsD,b2216,-,1,RegulonDB_TF
H-NS,b1237,rcsB,b2217,-,1,RegulonDB_TF
H-NS,b1237,proX,b2679,-,1,RegulonDB_TF
H-NS,b1237,proW,b2678,-,1,RegulonDB_TF
H-NS,b1237,proV,b2677,-,1,RegulonDB_TF
H-NS,b1237,nrdG,b4237,-,1,RegulonDB_TF
H-NS,b1237,nrdD,b4238,-,1,RegulonDB_TF
H-NS,b1237,nrdB,b2235,-,1,RegulonDB_TF
H-NS,b1237,nrdA,b2234,-,1,RegulonDB_TF
H-NS,b1237,nirD,b3366,-,1,RegulonDB_TF
H-NS,b1237,nirC,b3367,-,1,RegulonDB_TF
H-NS,b1237,nirB,b3365,-,1,RegulonDB_TF
H-NS,b1237,rrfB,b3971,-,1,RegulonDB_TF
GadW,b3515,gadA,b3517,?,1,RegulonDB_TF
GadX,b3516,gadA,b3517,+,1,RegulonDB_TF
GadE-RcsB,"b3512,b2217",slp,b3506,+,1,RegulonDB_TF
Fnr,b1334,nikB,b3477,+,1,RegulonDB_TF
Fnr,b1334,nikA,b3476,+,1,RegulonDB_TF
Fnr,b1334,ndh,b1109,-,1,RegulonDB_TF
Fnr,b1334,narX,b1222,-,1,RegulonDB_TF
Fnr,b1334,narL,b1221,-,1,RegulonDB_TF
Fnr,b1334,narK,b1223,+,1,RegulonDB_TF
Fnr,b1334,narJ,b1226,+,1,RegulonDB_TF
Fnr,b1334,narI,b1227,+,1,RegulonDB_TF
Fnr,b1334,narH,b1225,+,1,RegulonDB_TF
Fnr,b1334,narG,b1224,+,1,RegulonDB_TF
Fnr,b1334,napH,b2204,+,1,RegulonDB_TF
Fnr,b1334,napG,b2205,+,1,RegulonDB_TF
Fnr,b1334,nikC,b3478,+,1,RegulonDB_TF
Fnr,b1334,napF,b2208,+,1,RegulonDB_TF
Fnr,b1334,napC,b2202,+,1,RegulonDB_TF
Fnr,b1334,napB,b2203,+,1,RegulonDB_TF
Fnr,b1334,napA,b2206,+,1,RegulonDB_TF
Fnr,b1334,moeB,b0826,-,1,RegulonDB_TF
Fnr,b1334,moeA,b0827,-,1,RegulonDB_TF
Fnr,b1334,hypE,b2730,+,1,RegulonDB_TF
Fnr,b1334,hypD,b2729,+,1,RegulonDB_TF
Fnr,b1334,hypC,b2728,+,1,RegulonDB_TF
Fnr,b1334,hypB,b2727,+,1,RegulonDB_TF
Fnr,b1334,hmp,b2552,-,1,RegulonDB_TF
Fnr,b1334,hlyE,b1182,+,1,RegulonDB_TF
Fnr,b1334,hemA,b1210,-,1,RegulonDB_TF
Fnr,b1334,napD,b2207,+,1,RegulonDB_TF
Fnr,b1334,hcr,b0872,+,1,RegulonDB_TF
Fnr,b1334,nikD,b3479,+,1,RegulonDB_TF
Fnr,b1334,nikR,b3481,+,1,RegulonDB_TF
Fnr,b1334,ompW,b1256,?,1,RegulonDB_TF
Fnr,b1334,nuoN,b2276,-,1,RegulonDB_TF
Fnr,b1334,nuoM,b2277,-,1,RegulonDB_TF
GadE-RcsB,"b3512,b2217",yhiM,b3491,+,1,RegulonDB_TF
Fnr,b1334,nuoK,b2279,-,1,RegulonDB_TF
Fnr,b1334,nuoJ,b2280,-,1,RegulonDB_TF
Fnr,b1334,nuoI,b2281,-,1,RegulonDB_TF
Fnr,b1334,nuoH,b2282,-,1,RegulonDB_TF
Fnr,b1334,nuoG,b2283,-,1,RegulonDB_TF
Fnr,b1334,nuoF,b2284,-,1,RegulonDB_TF
Fnr,b1334,nuoE,b2285,-,1,RegulonDB_TF
Fnr,b1334,nuoC,b2286,-,1,RegulonDB_TF
Fnr,b1334,nikE,b3480,+,1,RegulonDB_TF
Fnr,b1334,nuoB,b2287,-,1,RegulonDB_TF
Fnr,b1334,nrfG,b4076,+,1,RegulonDB_TF
Fnr,b1334,nrfF,b4075,+,1,RegulonDB_TF
Fnr,b1334,nrfE,b4074,+,1,RegulonDB_TF
Fnr,b1334,nrfD,b4073,+,1,RegulonDB_TF
Fnr,b1334,nrfC,b4072,+,1,RegulonDB_TF
Fnr,b1334,nrfB,b4071,+,1,RegulonDB_TF
Fnr,b1334,nrfA,b4070,+,1,RegulonDB_TF
Fnr,b1334,nrdG,b4237,+,1,RegulonDB_TF
Fnr,b1334,nrdD,b4238,+,1,RegulonDB_TF
Fnr,b1334,nirD,b3366,+,1,RegulonDB_TF
Fnr,b1334,nirC,b3367,+,1,RegulonDB_TF
Fnr,b1334,nirB,b3365,+,1,RegulonDB_TF
Fnr,b1334,nuoA,b2288,-,1,RegulonDB_TF
Fnr,b1334,pdeF,b2503,+,1,RegulonDB_TF
Fnr,b1334,hcp,b0873,+,1,RegulonDB_TF
Fnr,b1334,focA,b0904,+,1,RegulonDB_TF
FliZ,b1921,hdeA,b3510,-,1,RegulonDB_TF
FliZ,b1921,gadF,b4718,-,1,RegulonDB_TF
FliZ,b1921,gadE,b3512,-,1,RegulonDB_TF
FliZ,b1921,gadC,b1492,-,1,RegulonDB_TF
FliZ,b1921,gadB,b1493,-,1,RegulonDB_TF
FliZ,b1921,flhD,b1892,-,1,RegulonDB_TF
FliZ,b1921,flhC,b1891,-,1,RegulonDB_TF
FliZ,b1921,csgG,b1037,-,1,RegulonDB_TF
FliZ,b1921,csgF,b1038,-,1,RegulonDB_TF
FliZ,b1921,csgE,b1039,-,1,RegulonDB_TF
FliZ,b1921,csgD,b1040,-,1,RegulonDB_TF
FlhDC,"b1891,b1892",yecR,b1904,+,1,RegulonDB_TF
FliZ,b1921,hdeB,b3509,-,1,RegulonDB_TF
FlhDC,"b1891,b1892",tcyJ,b1920,+,1,RegulonDB_TF
FlhDC,"b1891,b1892",gltL,b0652,+,1,RegulonDB_TF
FlhDC,"b1891,b1892",gltK,b0653,+,1,RegulonDB_TF
FlhDC,"b1891,b1892",gltJ,b0654,+,1,RegulonDB_TF
FlhDC,"b1891,b1892",gltI,b0655,+,1,RegulonDB_TF
FlhDC,"b1891,b1892",fliZ,b1921,+,1,RegulonDB_TF
FlhDC,"b1891,b1892",fliT,b1926,+,1,RegulonDB_TF
FlhDC,"b1891,b1892",fliS,b1925,+,1,RegulonDB_TF
FlhDC,"b1891,b1892",fliR,b1950,+,1,RegulonDB_TF
FlhDC,"b1891,b1892",fliQ,b1949,+,1,RegulonDB_TF
FlhDC,"b1891,b1892",fliP,b1948,+,1,RegulonDB_TF
FlhDC,"b1891,b1892",fliO,b1947,+,1,RegulonDB_TF
FlhDC,"b1891,b1892",fliN,b1946,+,1,RegulonDB_TF
FlhDC,"b1891,b1892",sroC,b4763,+,1,RegulonDB_TF
Fnr,b1334,grcA,b2579,?,1,RegulonDB_TF
FliZ,b1921,mdtE,b3513,-,1,RegulonDB_TF
FliZ,b1921,mlrA,b2127,-,1,RegulonDB_TF
Fnr,b1334,fnrS,b4699,+,1,RegulonDB_TF
Fnr,b1334,fnr,b1334,-,1,RegulonDB_TF
Fnr,b1334,fhlA,b2731,+,1,RegulonDB_TF
Fnr,b1334,fdnI,b1476,?,1,RegulonDB_TF
Fnr,b1334,fdnH,b1475,?,1,RegulonDB_TF
Fnr,b1334,fdnG,b1474,?,1,RegulonDB_TF
Fnr,b1334,dmsD,b1591,+,1,RegulonDB_TF
Fnr,b1334,dmsC,b0896,+,1,RegulonDB_TF
Fnr,b1334,dmsB,b0895,+,1,RegulonDB_TF
Fnr,b1334,dmsA,b0894,+,1,RegulonDB_TF
Fnr,b1334,cysG,b3368,+,1,RegulonDB_TF
Fnr,b1334,cydB,b0734,?,1,RegulonDB_TF
FliZ,b1921,mdtF,b3514,-,1,RegulonDB_TF
Fnr,b1334,cydA,b0733,?,1,RegulonDB_TF
Fnr,b1334,ccmH,b2194,+,1,RegulonDB_TF
Fnr,b1334,ccmG,b2195,+,1,RegulonDB_TF
Fnr,b1334,ccmF,b2196,+,1,RegulonDB_TF
Fnr,b1334,ccmE,b2197,+,1,RegulonDB_TF
Fnr,b1334,ccmD,b2198,+,1,RegulonDB_TF
Fnr,b1334,ccmC,b2199,+,1,RegulonDB_TF
Fnr,b1334,ccmB,b2200,+,1,RegulonDB_TF
Fnr,b1334,ccmA,b2201,+,1,RegulonDB_TF
Fnr,b1334,ansB,b2957,+,1,RegulonDB_TF
FliZ,b1921,yhiD,b3508,-,1,RegulonDB_TF
FliZ,b1921,pdeR,b1285,-,1,RegulonDB_TF
FliZ,b1921,osmY,b4376,-,1,RegulonDB_TF
Fnr,b1334,ccp,b3518,+,1,RegulonDB_TF
Fnr,b1334,pflB,b0903,+,1,RegulonDB_TF
Fnr,b1334,nuoL,b2278,-,1,RegulonDB_TF
Fur,b0683,gspG,b3328,-,1,RegulonDB_TF
Fur,b0683,sufD,b1681,-,1,RegulonDB_TF
Fur,b0683,sufC,b1682,-,1,RegulonDB_TF
Fur,b0683,sufB,b1683,-,1,RegulonDB_TF
Fur,b0683,sufA,b1684,-,1,RegulonDB_TF
Fur,b0683,stfQ,b1547,-,1,RegulonDB_TF
Fur,b0683,sodA,b3908,-,1,RegulonDB_TF
Fur,b0683,ryhB,b4451,-,1,RegulonDB_TF
Fur,b0683,rnpB,b3123,-,1,RegulonDB_TF
Fur,b0683,pyrC,b1062,-,1,RegulonDB_TF
Fur,b0683,oppF,b1247,-,1,RegulonDB_TF
Fur,b0683,oppD,b1246,-,1,RegulonDB_TF
Fur,b0683,sufE,b1679,-,1,RegulonDB_TF
Fur,b0683,oppC,b1245,-,1,RegulonDB_TF
Fur,b0683,oppA,b1243,-,1,RegulonDB_TF
Fur,b0683,nohA,b1548,-,1,RegulonDB_TF
Fur,b0683,gspO,b3335,-,1,RegulonDB_TF
Fur,b0683,gspM,b3334,-,1,RegulonDB_TF
Fur,b0683,gspL,b3333,-,1,RegulonDB_TF
Fur,b0683,gspK,b3332,-,1,RegulonDB_TF
Fur,b0683,gspJ,b3331,-,1,RegulonDB_TF
Fur,b0683,gspI,b3330,-,1,RegulonDB_TF
Fur,b0683,gspH,b3329,-,1,RegulonDB_TF
Fur,b0683,gspF,b3327,-,1,RegulonDB_TF
Fur,b0683,gspE,b3326,-,1,RegulonDB_TF
Fur,b0683,oppB,b1244,-,1,RegulonDB_TF
Fur,b0683,sufS,b1680,-,1,RegulonDB_TF
Fur,b0683,tfaQ,b1546,-,1,RegulonDB_TF
Fur,b0683,tonB,b1252,?,1,RegulonDB_TF
GadE-RcsB,"b3512,b2217",gadX,b3516,+,1,RegulonDB_TF
GadE-RcsB,"b3512,b2217",gadA,b3517,+,1,RegulonDB_TF
GadE-RcsB,"b3512,b2217",dctR,b3507,+,1,RegulonDB_TF
GadE-RcsB,"b3512,b2217",cadB,b4132,+,1,RegulonDB_TF
GadE-RcsB,"b3512,b2217",cadA,b4131,+,1,RegulonDB_TF
GadE-RcsB,"b3512,b2217",aslB,b3800,+,1,RegulonDB_TF
GadE-RcsB,"b3512,b2217",adiC,b4115,+,1,RegulonDB_TF
GadE,b3512,yhiD,b3508,+,1,RegulonDB_TF
GadE,b3512,rcsA,b1951,+,1,RegulonDB_TF
GadE,b3512,mdtF,b3514,+,1,RegulonDB_TF
GadE,b3512,mdtE,b3513,+,1,RegulonDB_TF
GadE,b3512,hdeD,b3511,+,1,RegulonDB_TF
GadE,b3512,hdeB,b3509,+,1,RegulonDB_TF
GadE,b3512,hdeA,b3510,+,1,RegulonDB_TF
